# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec 20 15:02:37 2024
#
# User preference: *
#
# COLUMN hip_name:       HIP ID
# COLUMN hip_compname:   HIP Component ID
# COLUMN hd_name:        HD ID
# COLUMN hr_name:        HR ID
# COLUMN gj_name:        GJ ID
# COLUMN constellation:  Constellation ID
# COLUMN hostname:       Host Name
# COLUMN sy_dist:        Distance [pc]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_bvmag:       B-V (Johnson) Color [mag]
# COLUMN sy_rcmag:       R (Cousins) Magnitude
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log10(Solar)]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_diam:        Stellar Angular Diameter [mas]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_log_rhk:     Stellar Ca II Chromospheric Activity Index [log R HK]
# COLUMN st_eei_orbsep:  Earth Equivalent Insolation Distance [au]
# COLUMN st_eei_angsep:  Earth Equivalent Insolation Distance [mas]
# COLUMN st_etwin_bratio: Earth Equivalent Planet-Star Ratio
# COLUMN st_etwin_rcmag: Earth Equivalent R (Cousins) Magnitude
# COLUMN st_eei_orbper:  Orbital Period at EEID [days]
# COLUMN st_etwin_rvamp: Earth Equivalent Radial Velocity Amplitude [cm/s]
# COLUMN st_etwin_astamp: Earth Equivalent Astrometric Amplitude [uas]
#
loc_rowid	hip_name	hip_compname	hd_name	hr_name	gj_name	constellation	hostname	sy_dist	ra	dec	sy_plx	sy_vmag	sy_bvmag	sy_rcmag	st_spectype	st_teff	st_lum	st_rad	st_diam	st_mass	st_met	st_logg	st_log_rhk	st_eei_orbsep	st_eei_angsep	st_etwin_bratio	st_etwin_rcmag	st_eei_orbper	st_etwin_rvamp	st_etwin_astamp
81	HIP 50564		HD 89449	HR 4054	GJ 9324	40 Leo	40 Leonis	21.2199	154.9340300	19.4709128	47.1255	4.792	0.450	4.485	F6IV-V	6410	0.6272	1.669	0.732	1.35	0.090	4.123	-4.749	2.059	97.02	2.73e-11	30.89	928.6	5.40	0.216
82	HIP 26779		HD 37394	HR 1925	GJ 211	V538 Aur	V538 Aurigae	12.2701	85.3347320	53.4810580	81.4987	6.200	0.840	5.730	K1V	5226	-0.3209	0.843	0.639	0.88	0.100	4.520	-4.454	0.691	56.33	2.42e-10	29.77	223.7	11.54	0.192
83	HIP 43726		HD 76151	HR 3538	GJ 327		HD 76151	16.8465	133.5747796	-5.4344595	59.3595	6.008	0.661	5.640	G2V	5780	-0.0127	0.983	0.543	1.02	0.100	4.490	-4.659	0.985	58.50	1.19e-10	30.45	353.8	8.98	0.172
84	HIP 64797	A	HD 115404 A		GJ 505A		HD 115404 A	10.9869	199.2127143	17.0171780	91.0176	6.550	0.926	6.070	K2.5V(k)	4843	-0.5197	0.781	0.661	0.76	-0.180	4.470	-4.480	0.550	50.03	3.83e-10	29.61	170.8	13.92	0.198
85	HIP 70497	A	HD 126660 A	HR 5404 A	GJ 549A	tet Boo A	Theta Bootis A	14.5307	216.2991543	51.8507436	68.8200	4.052	0.497	3.760	F7V	6280	0.6054	1.696	1.086	1.33	-0.030	4.230	-4.361	2.008	138.18	2.87e-11	30.12	901.1	5.51	0.312
86	HIP 73996		HD 134083	HR 5634	GJ 578	45 Boo	45 Bootis	19.5360	226.8252747	24.8691943	51.1875	4.940	0.429	4.664	F5V	6435	0.5125	1.451	0.691	1.33	-0.020	4.190	-4.535	1.804	92.35	3.56e-11	30.79	767.5	5.81	0.209
87	HIP 89348		HD 168151	HR 6850	GJ 9619	36 Dra	36 Draconis	23.1569	273.4743034	64.3972849	43.1837	4.990	0.440	4.690	F5V	6473	0.6202	1.624	0.652	1.33	-0.290	4.090	-4.545	2.042	88.19	2.77e-11	31.08	924.3	5.46	0.199
88	HIP 114924		HD 219623	HR 8853	GJ 4324		HD 219623	20.6102	349.1762648	53.2134748	48.5197	5.580	0.556	5.280	F8V	6084	0.3101	1.286	0.580	1.18	0.030	4.190	-4.993	1.429	69.34	5.67e-11	30.90	574.4	6.93	0.176
89	HIP 29800		HD 43386	HR 2241	GJ 9207	74 Ori	74 Orionis	19.5879	94.1109129	12.2721632	51.0518	5.040	0.431	4.780	F5V	6480	0.4708	1.364	0.648	1.33	-0.030	4.307	-4.580	1.719	87.78	3.91e-11	30.80	714.1	5.95	0.198
90	HIP 47592		HD 84117	HR 3862	GJ 364		HD 84117	14.9515	145.5600675	-23.9155672	66.8827	4.914	0.534	4.615	F9V	6163	0.2961	1.233	0.767	1.14	-0.060	4.340	-5.023	1.406	94.05	5.85e-11	30.20	570.5	7.11	0.248
91	HIP 73184		HD 131977	HR 5568 A	GJ 570A	KX Lib	GJ 570A	5.8864	224.3666700	-21.4154798	169.8843	5.724	1.108	4.935	K4V	4632	-0.6526	0.732	1.157	0.72	0.020	4.490	-4.484	0.472	80.14	5.20e-10	28.14	139.5	15.44	0.334
92	HIP 96100		HD 185144	HR 7462	GJ 764	sig Dra	Alsafi	5.7639	293.0899592	69.6611766	173.4939	4.672	0.786	4.210	K0V	5298	-0.3624	0.782	1.262	0.87	-0.210	4.520	-4.832	0.659	114.32	2.67e-10	28.15	209.4	11.89	0.395
93	HIP 3821	A	HD 4614 A	HR 219 A	GJ 34A	eta Cas A	Achird	5.0098	12.2762275	57.8151773	199.6080	3.444	0.587	3.097	F9V	5907	0.0976	1.068	1.983	1.14	-0.280	4.410	-4.949	1.119	223.35	9.24e-11	28.18	404.9	7.97	0.588
94	HIP 23311		HD 32147	HR 1614	GJ 183		HD 32147	8.8440	75.2041639	-5.7536734	113.0715	6.202	1.053	5.610	K3+V	4810	-0.5373	0.776	0.816	0.75	0.310	4.460	-4.948	0.539	60.91	3.99e-10	29.11	166.8	14.16	0.244
95	HIP 32439	A	HD 46588 A	HR 2401 A	GJ 9215A		HD 46588 A	18.2023	101.5589581	79.5648107	54.9380	5.440	0.525	5.110	F8V	6204	0.2615	1.170	0.598	1.18	-0.100	4.430	-4.930	1.351	74.23	6.34e-11	30.61	528.1	7.13	0.189
96	HIP 25278		HD 35296	HR 1780	GJ 202	111 Tau	111 Tauri	14.5792	81.1060970	17.3835351	68.5908	5.009	0.544	4.700	F8V	6131	0.2499	1.182	0.754	1.18	0.010	4.290	-4.378	1.333	91.45	6.51e-11	30.17	517.7	7.18	0.233
97	HIP 15457		HD 20630	HR 996	GJ 137	kap1 Cet	Kappa1 Ceti	9.2762	49.8404013	3.3701986	107.8023	4.850	0.681	4.438	G5V	5709	-0.0669	0.946	0.949	0.98	0.040	4.510	-4.420	0.926	99.81	1.35e-10	29.11	328.7	9.45	0.306
98	HIP 38423	A	HD 64379	HR 3079	GJ 292A	212 Pup A	212 Puppis A	18.3274	118.0652624	-34.7054399	54.5631	5.085	0.459	4.773	F5V Fe-0.5	6525	0.4043	1.246	0.632	1.33	-0.080	4.276	-4.363	1.593	86.90	4.56e-11	30.63	636.6	6.18	0.196
99	HIP 12843		HD 17206	HR 818	GJ 111	1 Eri	1 Eridani	14.2764	41.2758283	-18.5726228	70.0459	4.465	0.479	4.172	F7V	6330	0.4178	1.345	0.876	1.21	0.070	4.360	-4.461	1.618	113.32	4.42e-11	30.06	683.3	6.43	0.281
100	HIP 105858		HD 203608	HR 8181	GJ 827	gam Pav	Gamma Pavonis	9.2584	321.6108541	-65.3661981	108.0102	4.229	0.483	3.910	F9V Fe-1.4 CH-0.7	6095	0.1660	1.086	1.091	1.14	-0.700	4.300	-4.491	1.211	130.75	7.90e-11	29.17	455.6	7.66	0.344
101	HIP 8362		HD 10780	HR 511	GJ 75	V987 Cas	V987 Cassiopeiae	10.0411	26.9368101	63.8525031	99.5902	5.626	0.804	5.230	G9V	5358	-0.2874	0.834	0.772	0.90	0.030	4.480	-4.681	0.718	71.54	2.24e-10	29.35	234.4	11.19	0.239
102	HIP 72659	B	HD 131156 B	HR 5544 B	GJ 566B	xi Boo B	Xi Bootis B	6.7486	222.8460153	19.1019133	148.1793	6.979	1.164	6.167	K5V	4288	-0.8882	0.652	0.898	0.67	0.144	4.636	-4.424	0.360	53.30	8.95e-10	28.79	96.3	18.33	0.239
103	HIP 89042		HD 165499	HR 6761	GJ 9616	iot Pav	Iota Pavonis	17.7532	272.6089738	-62.0022200	56.3280	5.469	0.587	5.120	G0V	5951	0.2384	1.238	0.648	1.08	-0.070	4.290	-4.854	1.316	74.12	6.68e-11	30.56	530.5	7.55	0.206
104	HIP 1599		HD 1581	HR 77	GJ 17	zet Tuc	Zeta Tucanae	8.6071	5.0177443	-64.8747937	116.1826	4.223	0.572	3.885	F9.5V	5932	0.1010	1.063	1.149	1.11	-0.210	4.430	-4.839	1.123	130.51	9.17e-11	28.98	412.8	8.06	0.353
105	HIP 18859		HD 25457	HR 1249	GJ 159		HD 25457	18.7070	60.6531011	-0.2689222	53.4559	5.361	0.516	5.045	F7V	6268	0.3062	1.206	0.600	1.21	0.100	4.340	-4.390	1.423	76.05	5.72e-11	30.65	563.4	6.86	0.189
106	HIP 19335		HD 25998	HR 1278	GJ 9145	50 Per	50 Persei	21.1919	62.1525715	38.0397386	47.1878	5.522	0.520	5.218	F8V	6381	0.3627	1.242	0.545	1.18	0.190	4.610	-4.401	1.518	71.65	5.02e-11	30.97	629.1	6.72	0.182
107	HIP 7978		HD 10647	HR 506	GJ 3109	q1 Eri	q1 Eridani	17.3488	25.6221438	-53.7408310	57.6409	5.520	0.551	5.210	F9V	6155	0.1904	1.095	0.587	1.14	-0.040	4.440	-4.675	1.245	71.77	7.47e-11	30.53	475.3	7.55	0.189
108	HIP 116771		HD 222368	HR 8969	GJ 904	iot Psc	Iota Piscium	13.7137	354.9876724	5.6262910	72.9200	4.132	0.507	3.837	F7V	6200	0.5275	1.591	1.079	1.21	-0.140	4.150	-4.924	1.836	133.85	3.43e-11	30.00	825.8	6.04	0.332
109	HIP 99461	A	HD 191408 A	HR 7703 A	GJ 783A		HD 191408 A	6.0122	302.7997449	-36.1012088	166.3272	5.297	0.868	4.790	K2.5V	4980	-0.5481	0.715	1.106	0.76	-0.520	4.620	-4.982	0.532	88.50	4.09e-10	28.26	162.6	14.15	0.350
110	HIP 86736		HD 160915	HR 6595	GJ 692	58 Oph	58 Ophiuchi	17.6523	265.8574731	-21.6831941	56.6500	4.860	0.469	4.585	F5V	6404	0.4315	1.335	0.703	1.33	-0.110	4.260	-4.698	1.643	93.10	4.28e-11	30.51	667.2	6.09	0.210
111	HIP 49081	A	HD 86728 A	HR 3951 A	GJ 376A	20 LMi A	20 Leo Minoris A	14.9263	150.2527370	31.9236703	66.9958	5.378	0.676	5.010	G4IV	5743	0.1392	1.186	0.739	1.00	0.200	4.300	-5.130	1.174	78.65	8.40e-11	30.20	464.6	8.31	0.236
112	HIP 77052	A	HD 140538 A	HR 5853 A	GJ 9527A	psi Ser A	Psi Serpentis A	14.7927	236.0075774	2.5151668	67.6007	5.869	0.684	5.490	G5V	5682	-0.0788	0.942	0.592	0.94	0.050	4.470	-4.740	0.913	61.74	1.39e-10	30.13	328.8	9.71	0.197
113	HIP 98767		HD 190360	HR 7670	GJ 777A		HD 190360	16.0035	300.9058545	29.8968035	62.4865	5.745	0.749	5.300	G7V	5563	0.0665	1.162	0.675	0.96	0.220	4.320	-5.102	1.080	67.46	9.93e-11	30.31	418.1	8.84	0.211
114	HIP 114622		HD 219134	HR 8832	GJ 892		HD 219134	6.5418	348.3207290	57.1683566	152.8640	5.540	1.000	5.030	K3V	4874	-0.5753	0.723	1.028	0.75	0.060	4.560	-4.922	0.516	78.82	4.35e-10	28.43	156.2	14.47	0.316
115	HIP 4151		HD 5015	HR 244	GJ 41		HD 5015	18.8007	13.2674852	61.1239720	53.1896	4.800	0.540	4.497	F8V	6105	0.5355	1.656	0.819	1.18	0.050	4.110	-4.398	1.853	98.54	3.37e-11	30.68	847.8	6.09	0.251
116	HIP 16245	A	HD 22001 A	HR 1083 A	GJ 9118A	kap Ret A	Kappa Reticuli A	21.7816	52.3444893	-62.9375289	45.9103	4.703	0.391	4.460	F3V	6662	0.6881	1.658	0.708	1.32	-0.170	4.310	-5.037	2.208	101.38	2.37e-11	31.02	1043.3	5.27	0.231
117	HIP 23835		HD 32923	HR 1656	GJ 188	104 Tau	104 Tauri	15.9172	76.8625232	18.6450499	62.8252	4.915	0.645	4.530	G1V	5691	0.3805	1.594	0.931	1.04	-0.200	4.060	-5.103	1.550	97.36	4.82e-11	30.32	690.9	7.09	0.281
118	HIP 114948		HD 219482	HR 8843	GJ 1282		HD 219482	20.4426	349.2403645	-62.0011978	48.9174	5.655	0.521	5.360	F6V	6280	0.2754	1.160	0.528	1.25	-0.030	4.370	-4.434	1.373	67.17	6.14e-11	30.89	525.6	6.87	0.161
119	HIP 5862		HD 7570	HR 370	GJ 55	nu Phe	Nu Phoenicis	15.2609	18.7963393	-45.5316646	65.5270	4.966	0.571	4.640	F9V Fe+0.4	6110	0.3018	1.263	0.770	1.14	0.160	4.340	-4.950	1.415	92.75	5.78e-11	30.24	576.1	7.08	0.244
120	HIP 99240		HD 190248	HR 7665	GJ 780	del Pav	Delta Pavonis	6.0993	302.1817036	-66.1820674	163.9544	3.556	0.760	3.135	G8IV-V	5576	0.0969	1.198	1.827	0.94	0.350	4.290	-4.999	1.118	183.29	9.26e-11	28.22	445.3	8.78	0.586
121	HIP 54035		HD 95735		GJ 411		Lalande 21185	2.5461	165.8341451	35.9698823	392.7529	7.421	1.502	6.400	M2V	3601	-1.7004	0.363	1.325	0.44	-0.420	4.870	-5.451	0.141	55.45	5.81e-09	26.99	29.2	36.11	0.379
122	HIP 68184		HD 122064	HR 5256	GJ 12002		HD 122064	10.0672	209.3835765	61.4928612	99.3325	6.488	1.040	5.911	K3V	4867	-0.5360	0.759	0.701	0.75	0.200	4.560	-4.989	0.540	53.59	3.98e-10	29.41	167.1	14.15	0.215
123	HIP 84405	A	HD 155886	HR 6402	GJ 663A	36 Oph A	Guniibuu	5.9523	258.8365985	-26.6016992	168.0031	5.070	0.850	4.583	K1V	5132	-0.4848	0.724	1.131	0.85	-0.220	4.530	-4.570	0.572	96.14	3.53e-10	28.21	171.5	12.90	0.340
124	HIP 8102		HD 10700	HR 509	GJ 71	tau Cet	Tau Ceti	3.6522	26.0170131	-15.9374799	273.8097	3.496	0.727	3.065	G8V	5356	-0.2961	0.826	2.103	0.94	-0.510	4.530	-4.958	0.711	194.72	2.29e-10	27.17	225.9	11.01	0.622
125	HIP 27435		HD 38858	HR 2007	GJ 1085		HD 38858	15.2104	87.1455844	-4.0946449	65.7446	5.973	0.639	5.580	G2V	5731	-0.0826	0.922	0.564	1.02	-0.220	4.470	-4.890	0.909	59.78	1.40e-10	30.22	313.6	9.35	0.176
126	HIP 56452	A	HD 100623 A	HR 4458 A	GJ 432A	20 Crt A	20 Crateris A	9.5590	173.6228602	-32.8313397	104.6133	5.956	0.811	5.525	K0-V	5196	-0.4318	0.751	0.730	0.88	-0.400	4.600	-4.913	0.608	63.63	3.13e-10	29.29	184.7	12.30	0.217
127	HIP 81300		HD 149661	HR 6171	GJ 631	12 Oph	12 Ophiuchi	9.8939	249.0893737	-2.3245870	101.0719	5.764	0.827	5.305	K0V(k)	5262	-0.3352	0.818	0.769	0.87	0.030	4.520	-4.583	0.680	68.71	2.50e-10	29.31	219.5	11.70	0.237
128	HIP 40843		HD 69897	HR 3262	GJ 303	chi Cnc	Chi Cancri	18.2233	125.0160865	27.2177050	54.8749	5.130	0.487	4.850	F6V	6269	0.3848	1.320	0.674	1.25	-0.280	4.300	-4.825	1.557	85.46	4.77e-11	30.65	634.9	6.45	0.205
129	HIP 104214		HD 201091	HR 8085	GJ 820A	61 Cyg A	61 Cygni A	3.4966	316.7247483	38.7494173	285.9949	5.211	1.069	4.503	K5V	4441	-0.8466	0.637	1.695	0.68	-0.130	4.510	-4.765	0.377	107.91	8.13e-10	27.23	102.7	17.77	0.477
130	HIP 42808		HD 74576		GJ 320		HD 74576	11.1917	130.8251265	-38.8823808	89.3522	6.556	0.932	6.042	K2.5V(k)	4992	-0.4982	0.753	0.626	0.76	0.010	4.600	-4.351	0.564	50.35	3.64e-10	29.64	177.2	13.75	0.199
131	HIP 71681		HD 128621	HR 5460	GJ 559B	alf Cen B	Toliman	1.3319	219.8960963	-60.8375276	750.8100	1.350	0.868	0.866	K1V	5244	-0.2984	0.859	6.000	0.94	0.240	4.540	-4.960	0.709	532.49	2.30e-10	24.96	225.3	11.04	1.706
132	HIP 98959		HD 189567	HR 7644	GJ 776		HD 189567	17.9323	301.3865229	-67.3208961	55.7654	6.070	0.646	5.705	G2V Fe-1.0	5730	0.0153	1.033	0.536	1.02	-0.190	4.420	-4.860	1.018	56.75	1.12e-10	30.58	371.3	8.83	0.167
133	HIP 3583	A	HD 4391	HR 209	GJ 1021		HD 4391	15.0487	11.4399705	-47.5519841	66.4509	5.795	0.635	5.420	G5V Fe-0.8 CH-1	5887	-0.0346	0.924	0.571	0.98	-0.040	4.650	-4.550	0.961	63.85	1.25e-10	30.17	347.5	9.27	0.196
134	HIP 17378		HD 23249	HR 1136	GJ 150	del Eri	Rana	9.0888	55.8120856	-9.7633919	110.0254	3.537	0.922	3.020	K0+IV	5045	0.4685	2.245	2.297	0.87	0.090	3.780	-5.184	1.715	188.68	3.94e-11	29.03	879.4	7.37	0.651
135	HIP 47080	A	HD 82885 A	HR 3815 A	GJ 356A	11 LMi A	11 Leo Minoris A	11.2348	143.9145925	35.8101325	89.0092	5.402	0.770	4.970	G9-IV-V Hdel1	5518	-0.1057	0.969	0.802	0.94	0.340	4.440	-4.638	0.885	78.81	1.48e-10	29.55	313.9	9.87	0.252
136	HIP 57443	A	HD 102365	HR 4523	GJ 442A		HD 102365	9.3195	176.6294689	-40.5003572	107.3024	4.893	0.664	4.525	G2V	5618	-0.0737	0.970	0.968	1.02	-0.310	4.440	-4.931	0.919	98.58	1.37e-10	29.18	318.5	9.30	0.290
137	HIP 53721		HD 95128	HR 4277	GJ 407	47 UMa	Chalawan	13.8875	164.8665531	40.4302557	72.0070	5.037	0.624	4.700	G1.5IV-V Fe-1	5880	0.1978	1.210	0.810	1.07	0.020	4.300	-5.060	1.256	90.42	7.34e-11	30.04	496.9	7.76	0.254
138	HIP 84862		HD 157214	HR 6458	GJ 672	72 Her	72 Herculis	14.5863	260.1648644	32.4677439	68.5575	5.385	0.619	5.040	G0V	5704	0.1106	1.163	0.742	0.94	-0.390	4.330	-4.993	1.136	77.87	8.97e-11	30.16	456.0	8.71	0.249
139	HIP 114046		HD 217987		GJ 887		Lacaille 9352	3.2871	346.4668158	-35.8530709	304.2190	7.330	1.483	6.360	M1.0V	3680	-1.4378	0.470	1.330	0.49	-0.220	4.880	-4.828	0.191	58.12	3.17e-09	27.61	43.6	29.42	0.356
140	HIP 13402		HD 17925	HR 857	GJ 117	EP Eri	EP Eridani	10.3605	43.1338674	-12.7697133	96.5200	6.038	0.867	5.525	K1.5V(k)	5199	-0.3969	0.780	0.701	0.82	0.070	4.550	-4.311	0.633	61.12	2.89e-10	29.37	203.2	12.49	0.224
141	HIP 29650		HD 43042	HR 2220	GJ 3390	71 Ori	71 Orionis	21.7763	93.7119848	19.1564479	45.9214	5.200	0.430	4.910	F5.5IV-V	6539	0.4677	1.335	0.570	1.29	0.030	4.290	-4.799	1.713	78.68	3.94e-11	30.92	721.2	6.05	0.183
142	HIP 24813		HD 34411	HR 1729	GJ 197	lam Aur	Lambda Aurigae	12.5625	79.7853144	40.0990514	79.6021	4.705	0.624	4.319	G1.5V	5854	0.2385	1.279	0.947	1.08	0.060	4.240	-5.085	1.316	104.76	6.68e-11	29.76	530.6	7.55	0.291
143	HIP 62207		HD 110897	HR 4845	GJ 484	10 CVn	10 Canum Venaticorum	17.5565	191.2475207	39.2789162	56.9588	5.958	0.548	5.600	F9V Fe-0.3	5889	0.0382	1.004	0.532	1.14	-0.530	4.380	-4.972	1.045	59.52	1.06e-10	30.54	365.4	8.25	0.157
144	HIP 64394		HD 114710	HR 4983	GJ 502	bet Com	Beta Comae Berenices	9.1975	197.9683076	27.8781840	108.7250	4.230	0.572	3.900	F9.5V	5996	0.1326	1.079	1.092	1.11	0.060	4.420	-4.745	1.165	126.65	8.53e-11	29.07	435.9	7.91	0.343
145	HIP 49908		HD 88230		GJ 380		Groombridge 1618	4.8706	152.8422498	49.4542364	205.3148	6.550	1.326	5.670	K7V	4097	-0.9882	0.636	1.215	0.63	0.210	4.640	-4.617	0.321	65.82	1.13e-09	28.04	83.5	20.03	0.314
146	HIP 2021		HD 2151	HR 98	GJ 19	bet Hyi	Beta Hydri	7.4588	6.4377932	-77.2542461	134.0700	2.820	0.617	2.445	G0V	5806	0.5420	1.844	2.300	1.08	-0.120	4.000	-4.996	1.866	250.23	3.32e-11	28.64	896.2	6.34	0.696
147	HIP 40693		HD 69830	HR 3259	GJ 302		HD 69830	12.5794	124.5997790	-12.6321714	79.4953	5.951	0.757	5.525	G8+V	5423	-0.2165	0.883	0.653	0.93	-0.030	4.530	-4.987	0.779	61.96	1.90e-10	29.83	260.6	10.57	0.200
148	HIP 79672		HD 146233	HR 6060	GJ 616	18 Sco	18 Scorpii	14.1369	243.9052928	-8.3694395	70.7371	5.496	0.652	5.127	G3+V	5785	0.0391	1.041	0.685	1.02	0.030	4.430	-4.930	1.046	73.99	1.06e-10	30.07	386.9	8.71	0.218
149	HIP 57757		HD 102870	HR 4540	GJ 449	bet Vir	Zavijava	10.9290	177.6738271	1.7647226	91.5000	3.602	0.552	3.280	F9V	6123	0.5529	1.679	1.429	1.14	0.130	4.130	-4.880	1.890	172.93	3.24e-11	29.50	888.9	6.13	0.456
150	HIP 107350		HD 206860	HR 8314	GJ 9751	HN Peg	HN Pegasi	18.1330	326.1305414	14.7719398	55.1480	5.942	0.587	5.590	G0IV-V	5939	0.0552	1.006	0.516	1.08	-0.060	4.450	-4.416	1.066	58.77	1.02e-10	30.57	386.6	8.39	0.163
151	HIP 41926		HD 72673	HR 3384	GJ 309		HD 72673	12.1643	128.2145653	-31.5008514	82.2080	6.378	0.784	5.910	K1V	5261	-0.3941	0.765	0.585	0.85	-0.390	4.560	-4.946	0.635	52.22	2.87e-10	29.77	200.6	12.25	0.185
152	HIP 43587	A	HD 75732 A	HR 3522 A	GJ 324A	55 Cnc A	Copernicus	12.5868	133.1492129	28.3308208	79.4482	5.960	0.860	5.490	K0IV-V	5292	-0.1970	0.948	0.701	0.95	0.320	4.400	-4.991	0.797	63.33	1.82e-10	29.84	266.7	10.34	0.200
153	HIP 64583	A	HD 114837 A	HR 4989 A	GJ 503A		HD 114837 A	18.2400	198.5631031	-59.1032372	54.8247	4.913	0.480	4.620	F6V Fe-0.4	6238	0.4722	1.475	0.752	1.25	-0.310	4.230	-4.665	1.722	94.43	3.90e-11	30.64	738.4	6.13	0.227
154	HIP 113283		HD 216803	HR 8721	GJ 879	TW PsA	Fomalhaut B	7.6015	344.1002190	-31.5655640	131.5525	6.446	1.094	5.800	K4Ve	4601	-0.7070	0.697	0.853	0.72	0.040	4.680	-4.349	0.443	58.29	5.89e-10	28.87	127.0	15.93	0.243
155	HIP 12653		HD 17051	HR 810	GJ 108	iot Hor	Iota Horologii	17.3572	40.6394444	-50.8002931	57.6131	5.395	0.561	5.085	F9V Fe+0.3	6157	0.2399	1.158	0.621	1.14	0.150	4.430	-4.585	1.318	75.94	6.66e-11	30.53	517.6	7.34	0.200
156	HIP 7513	A	HD 9826 A	HR 458 A	GJ 61A	ups And A	Titawin	13.4916	24.1993398	41.4054587	74.1200	4.100	0.536	3.772	F8V	6154	0.5254	1.611	1.110	1.18	0.080	4.170	-4.980	1.831	135.72	3.45e-11	29.93	833.1	6.12	0.345
157	HIP 16537		HD 22049	HR 1084	GJ 144	eps Eri	Ran	3.2198	53.2326854	-9.4582610	310.5773	3.718	0.881	3.225	K2V	5098	-0.4707	0.746	2.154	0.78	-0.080	4.550	-4.455	0.582	180.65	3.42e-10	26.89	183.5	13.36	0.696
158	HIP 16852		HD 22484	HR 1101	GJ 147	10 Tau	10 Tauri	13.9204	54.2182654	0.4016645	71.8370	4.291	0.575	3.955	F9IV-V	5996	0.4868	1.623	1.084	1.14	-0.080	4.100	-5.120	1.752	125.82	3.77e-11	30.01	793.0	6.37	0.331
159	HIP 86486		HD 160032	HR 6569	GJ 9597	lam Ara	Lambda Arae	20.9624	265.0992732	-49.4155831	47.7045	4.762	0.401	4.466	F4V	6620	0.6579	1.621	0.719	1.39	-0.220	4.161	-4.665	2.133	101.74	2.54e-11	30.95	965.0	5.23	0.220
160	HIP 23693		HD 33262 A	HR 1674 A	GJ 189	zet Dor A	Zeta Doradus A	11.6927	76.3777320	-57.4727047	85.5233	4.701	0.522	4.375	F9V Fe-0.5	6158	0.1662	1.064	0.846	1.14	-0.180	4.430	-4.426	1.211	103.56	7.89e-11	29.63	455.8	7.66	0.273
161	HIP 69965	A	HD 125276 A	HR 5356 A	GJ 9476A		HD 125276 A	17.9888	214.7537320	-25.8154250	55.5900	5.872	0.498	5.530	F9V Fe-1.5 CH-0.7	6120	0.0822	0.978	0.506	1.11	-0.680	4.410	-4.830	1.099	61.11	9.58e-11	30.58	399.6	8.15	0.165
162	HIP 910		HD 693	HR 33	GJ 10	6 Cet	6 Ceti	18.8861	2.8160752	-15.4679779	52.9489	4.895	0.492	4.575	F8V Fe-0.8 CH-0.5	6190	0.4767	1.505	0.741	1.18	-0.360	4.090	-4.962	1.731	91.66	3.86e-11	30.61	765.9	6.30	0.233
163	HIP 112447	A	HD 215648 A	HR 8665	GJ 872A	xi Peg A	Xi Pegasi A	16.1509	341.6732494	12.1728858	61.9161	4.200	0.502	3.910	F6V	6193	0.6576	1.852	1.066	1.25	-0.270	4.070	-4.935	2.132	132.00	2.55e-11	30.40	1017.0	5.51	0.317
164	HIP 14632		HD 19373	HR 937	GJ 124	iot Per	Iota Persei	10.5774	47.2667471	49.6132784	94.5412	4.050	0.595	3.710	G0V	5952	0.3484	1.404	1.235	1.08	0.090	4.220	-5.028	1.494	141.20	5.19e-11	29.42	641.5	7.09	0.393
